iso3,ISI,ISI_prod,ISI_broad,ICI,ICI_long,ICI_basic,ICI_basic_full,ICI_coverage,ESI,ESI_alt,ESI_prod,ESI_dest,ECI,ECI_long,ECI_basic,ECI_basic_full,ECI_prod,ECI_coverage,CGI,CGI_long,CGI_basic,CGI_basic_full,CGI_coverage,SGI,SGI_long,SGI_basic,SGI_basic_full,SGI_coverage,ICI_upstream,ICI_downstream,CGI_upstream,CGI_downstream
ABW,0.22350858843179666,0.22811444316077448,0.046831697103603194,0.0015477640889778913,0.004554437550028867,0.007320553830455498,0.001431359177158814,0.070269124793642,0.01046464280891712,0.02013373070888754,0.08685586827138006,0.14607086501924466,0.0037546090773049054,0.00887447568541964,0.00963568225883901,0.005552358843855401,0.004603519959338928,0.5410987313029946,0.0016205708950509086,0.003597769799339072,0.008507078016421124,0.006387761266268807,0.6691053818119078,0.0011600351584826827,0.0033055662132882423,0.005329728543329708,0.0037142344657104397,0.698949229177088,0.0013715107170707375,0.001509153174826977,0.0030173203738709108,8.702952777216329e-4
AFG,0.19734925295788924,0.17145191559102463,0.07868691594319627,4.0050550111689733e-4,0.0010396068101644958,8.553654049631842e-4,0.0032753024209317655,0.05976271890557497,0.005771062220058623,0.005455575139991679,0.023799628908240077,0.16734484370953306,5.485901277984722e-4,0.001086769264800955,0.002005766030563614,0.0017752710060600836,0.0014708490608284913,0.662747033383226,0.0025220544286917506,0.0069828643145275655,0.011288795237055808,0.00985677802213503,0.7777792090795453,0.0010078826441215045,0.0029370945646414437,0.0036546751242081963,0.002854413535305167,0.5807465243471381,1.3768462417370662e-4,5.413373395920873e-4,0.002172448002375537,0.002669066538782995
AGO,0.3182681289473443,0.2458834032157183,0.14543133578373155,NA,NA,NA,2.393683508135431e-4,0,0.006304241116767428,0.009286005523139105,0.037128376985974376,0.37253866108956485,9.575885214739024e-5,2.486019474371885e-4,2.754350584922827e-4,2.59628597665806e-4,1.2858377499994e-4,0.6645865532855415,0.0055739955505381255,0.011773299706472071,0.026956376957726486,0.018355342745349074,0.6468885905809749,0.006708109448589557,0.02618826768270614,0.01327329780691809,0.01046435011462515,0.7019048086758763,NA,NA,0.003795221412680622,0.007622396083723136
AIA,0,0.12467161125068649,0,0,0,0,0,0,0.005644174155596532,0.023935460017382684,0.06951608687432145,0.15009688141854519,0.004132361281268721,0.00712834362799178,0.012219283319298798,0.014091535768053609,0.0035680743992417465,0.7157507596450503,0,0,0,0,0.7446215706012346,0,0,0,0,0.8906759370980364,0,0,0,0
ALB,0.42697411938009655,0.24717282686192543,0.10430713379630535,0.007690070629998921,0.013628475047263004,0.01795261627578111,0.015182455787509024,0.8042430970754476,0.031146910393317778,0.098796358947464,0.17078199166476177,0.2479938183470186,0.005265883069399116,0.009288259396229286,0.012427446231410363,0.011870233520515788,0.010335921592696909,0.9081443441085275,0.003506477230077033,0.0074903729148631665,0.01803092740090591,0.013354658482451584,0.7072161113939498,0.003602409260996035,0.01002080496084572,0.008807172489269932,0.0074198593234342265,0.8320437589280193,0.0033256719362941205,0.01344572044760461,0.0019237106962142715,0.004918602880791748
AND,0.26919120909766103,0.24835212566993703,0.023869592596702602,0.0030966466361408906,0.00699913717155989,0.008862459903148776,0.004341279093556817,0.46745723660838034,0.034248300458489984,0.08810982690354291,0.17941958099820038,0.2960127752366638,0.01119640382649354,0.03825698070983845,0.02161590717181255,0.014473341355212018,0.013454486240842748,0.6157994705292019,0.0012018632195176107,0.002068495683946124,0.007419129363233098,0.00565808208651024,0.695604561612899,0.00131699821034672,0.0035363458736185605,0.0030081724091579544,0.0019776728465582525,0.6016509850788805,0.004081627829535197,0.004903231017008782,5.121005393259043e-4,0.0015536206634438434
ARE,0.4941759213254031,0.3462539713252584,0.19610727705074585,0.008438017802345025,0.017475489128759552,0.017787239776520726,0.011028929144473476,0.5973385427944384,0.07107842854598623,0.10331882044776754,0.23383175665311995,0.5061466987534541,0.0042142236977913096,0.009760144620028399,0.009767087341383993,0.006107760921156188,0.006240735434531139,0.48384342415021336,0.009165787979220331,0.018059278833868993,0.04949900476268019,0.029467106514091793,0.5769077193953945,0.005449828463077267,0.017356891925068063,0.017255907751295985,0.013073700744263424,0.5246403242379785,0.0012671359100974947,0.016108898766079172,0.0035453038943275288,0.00913861541905197
ARG,0.4021725228775759,0.2873256754940554,0.17457103775000832,0.0012062304359240768,0.0028942775169695156,0.0034685000772937923,0.0024500815654988736,0.5093540116057308,0.021265520805931703,0.04788521549384465,0.1054797836867493,0.4814227411753228,0.0013123398883854013,0.0031968970961965175,0.0033993555999991556,0.0019293647748706685,0.0012909342492407744,0.4869154770117696,0.0049370492806587694,0.010657373456771388,0.023807066659659457,0.021315815552694305,0.83703794109806,0.0031243573832532563,0.007840915934644876,0.013725799073537506,0.010762588682891785,0.6493070321682719,0.0012205625808391922,0.0013186807951907178,0.003641204989217909,0.006829704086075857
ARM,0.4838089269815157,0.2822499643531813,0.1051013385062326,0.010479947281425202,0.020667628897165783,0.023851048796979964,0.01048693083289203,0.3518020838290419,0.03622622431549564,0.13202867420402714,0.2196270284573706,0.2859534519684634,0.02459398390535621,0.05720970258873755,0.048574613863914526,0.02170166871656279,0.01986538314989616,0.37435196665494286,0.004393515423293676,0.009224806910553586,0.021629429799306574,0.013627214452655094,0.5910869820072475,0.003481153806092894,0.008597623327689334,0.008045644871295603,0.0063384186515577715,0.4006197881188928,0.004160778765293796,0.0120854173153573,0.0023526225702043455,0.005909185930143762
ASM,0,0.06267177361236023,0,0,0,0,0,0,0.011739908822769029,0.020925827383566836,0.1321363314254615,0.2850988088048548,0.0069129916748319285,0.020025762524373943,0.013948143320002741,0.010169944949635629,0.006524757148056978,0.636445955675005,0,0,0,0,0.5421146204753879,0,0,0,0,0.58143758164959,0,0,0,0
ATF,0,0.11451555739208603,0,0,0,0,0,0,0.0013694049330262566,0.0023549901564935112,0.03018812838609308,0.11849885775381398,0.0028189723082105984,0.005340794887955759,0.007909422914267628,0.007941005333455223,0.0037986293995219394,0.9652632655033262,0,0,0,0,0.7051931766406121,0,0,0,0,0.30766290254152123,0,0,0,0
ATG,0.10999165284052201,0.13084657831872978,0.04609234300306345,0.002460838279001298,0.005256924890211055,0.006358288390262087,0.0016226000041412367,0.11047947790490921,0.00409688906913482,0.016159201689219978,0.06887964699491371,0.16219636035594936,0.0046244867821382245,0.010346965180677455,0.01474312452264307,0.00224771076513659,0.009746320957032031,0.09908400767761004,0.0031204185127265073,0.007091634428664564,0.015222268336873691,0.004764919499097519,0.27982248448692654,0.004119646366075174,0.009495631629067167,0.009738805721027755,0.0058494685317319025,0.45999649862804937,0.009539354389185661,0.002175692113110079,0.0037576598770759696,0.002490542769307587
AUS,0.5958509153692281,0.37637013094795413,0.24086752607158238,0.007160612603552621,0.012846133324150563,0.016938646477320195,0.004098798179246495,0.12791045467145193,0.04252775457390569,0.05086841283301191,0.08580980713218321,0.5100460126466686,0.0017168674443299864,0.00379550223467916,0.0041033032170456115,0.002226803920062981,0.0016102418879832805,0.4278986649743572,0.010320898795518476,0.020559753698803456,0.05061451228957225,0.03572448721682435,0.6694102025716359,0.005188597500463241,0.013608329943486371,0.02576536172672687,0.012798641429032033,0.4323709313378276,0.002905043969221375,0.018450118975447603,0.006961456643189303,0.011263726698026949
AUT,0.6108908248467367,0.3822334449119511,0.06770666889375616,0.002865828055191576,0.007287065492501196,0.007257658200013677,0.006445741413389111,0.8151825141402649,0.13763082014955602,0.2273181427918045,0.37180317208919905,0.4024628234477732,0.0044482291494817305,0.009911940508576467,0.010089666695260489,0.00910297906169472,0.00772707195776993,0.7960903666249906,0.00264673707470141,0.005163071326281012,0.012242193495703617,0.010244979704166251,0.7982326789425979,0.0012910726492138124,0.0033634485637543594,0.0036763568184926348,0.003064357040697837,0.7420361783264188,0.0024117455190051885,0.0032774285664227136,0.0013362818383920606,0.003029134868632539
